Source,Target,Type,Id,Label,timeset,Weight,number_of_coauthored_works
n92,n99,Undirected,e506,,,1,1
n93,n99,Undirected,e507,,,1,1
n94,n99,Undirected,e508,,,1,1
n95,n99,Undirected,e509,,,1,1
n96,n99,Undirected,e510,,,1,1
n97,n99,Undirected,e511,,,1,1
n98,n99,Undirected,e512,,,1,1
n2,n99,Undirected,e513,,,1,1
n2,n92,Undirected,e514,,,1,1
n2,n93,Undirected,e515,,,1,1
n2,n94,Undirected,e516,,,1,1
n2,n95,Undirected,e517,,,1,1
n2,n96,Undirected,e518,,,1,1
n2,n97,Undirected,e519,,,1,1
n2,n98,Undirected,e520,,,1,1
n92,n98,Undirected,e521,,,1,1
n93,n98,Undirected,e522,,,1,1
n94,n98,Undirected,e523,,,1,1
n95,n98,Undirected,e524,,,1,1
n96,n98,Undirected,e525,,,1,1
n97,n98,Undirected,e526,,,1,1
n92,n97,Undirected,e527,,,1,1
n93,n97,Undirected,e528,,,1,1
n94,n97,Undirected,e529,,,1,1
n95,n97,Undirected,e530,,,1,1
n96,n97,Undirected,e531,,,1,1
n92,n96,Undirected,e532,,,1,1
n93,n96,Undirected,e533,,,1,1
n94,n96,Undirected,e534,,,1,1
n95,n96,Undirected,e535,,,1,1
n92,n95,Undirected,e536,,,1,1
n93,n95,Undirected,e537,,,1,1
n94,n95,Undirected,e538,,,1,1
n92,n94,Undirected,e539,,,1,1
n93,n94,Undirected,e540,,,1,1
n92,n93,Undirected,e541,,,1,1
n60,n107,Undirected,e542,,,1,1
n60,n108,Undirected,e543,,,1,1
n60,n109,Undirected,e544,,,1,1
n60,n110,Undirected,e545,,,1,1
n60,n111,Undirected,e546,,,1,1
n78,n107,Undirected,e547,,,1,1
n78,n108,Undirected,e548,,,1,1
n78,n109,Undirected,e549,,,1,1
n78,n110,Undirected,e550,,,1,1
n78,n111,Undirected,e551,,,1,1
n59,n111,Undirected,e552,,,1,1
n107,n111,Undirected,e553,,,1,1
n2,n111,Undirected,e554,,,1,1
n108,n111,Undirected,e555,,,1,1
n109,n111,Undirected,e556,,,1,1
n110,n111,Undirected,e557,,,1,1
n59,n110,Undirected,e558,,,1,1
n107,n110,Undirected,e559,,,1,1
n2,n110,Undirected,e560,,,1,1
n108,n110,Undirected,e561,,,1,1
n109,n110,Undirected,e562,,,1,1
n59,n109,Undirected,e563,,,1,1
n107,n109,Undirected,e564,,,1,1
n2,n109,Undirected,e565,,,1,1
n108,n109,Undirected,e566,,,1,1
n59,n108,Undirected,e567,,,1,1
n107,n108,Undirected,e568,,,1,1
n2,n108,Undirected,e569,,,1,1
n2,n107,Undirected,e570,,,1,1
n59,n107,Undirected,e571,,,1,1
n2,n112,Undirected,e572,,,1,1
n2,n113,Undirected,e573,,,1,1
n2,n114,Undirected,e574,,,1,1
n2,n115,Undirected,e575,,,1,1
n2,n116,Undirected,e576,,,1,1
n2,n117,Undirected,e577,,,1,1
n2,n118,Undirected,e578,,,1,1
n2,n119,Undirected,e579,,,1,1
n2,n120,Undirected,e580,,,1,1
n2,n121,Undirected,e581,,,1,1
n112,n121,Undirected,e582,,,1,1
n113,n121,Undirected,e583,,,1,1
n114,n121,Undirected,e584,,,1,1
n115,n121,Undirected,e585,,,1,1
n116,n121,Undirected,e586,,,1,1
n117,n121,Undirected,e587,,,1,1
n118,n121,Undirected,e588,,,1,1
n119,n121,Undirected,e589,,,1,1
n120,n121,Undirected,e590,,,1,1
n27,n121,Undirected,e591,,,1,1
n27,n112,Undirected,e592,,,1,1
n27,n113,Undirected,e593,,,1,1
n27,n114,Undirected,e594,,,1,1
n27,n115,Undirected,e595,,,1,1
n27,n116,Undirected,e596,,,1,1
n27,n117,Undirected,e597,,,1,1
n27,n118,Undirected,e598,,,1,1
n27,n119,Undirected,e599,,,1,1
